E32  (E32ERR.H);KErrNotFound;-1;Unable to find the specified object
E32  (E32ERR.H);KErrGeneral;-2;General (unspecified) error
E32  (E32ERR.H);KErrCancel;-3;The operation was cancelled
E32  (E32ERR.H);KErrNoMemory;-4;Not enough memory. Close some applications and try again
E32  (E32ERR.H);KErrNotSupported;-5;The operation requested is not supported
E32  (E32ERR.H);KErrArgument;-6;Bad request
E32  (E32ERR.H);KErrTotalLossOfPrecision;-7;Total loss of precision
E32  (E32ERR.H);KErrBadHandle;-8;Bad object
E32  (E32ERR.H);KErrOverflow;-9;Overflow
E32  (E32ERR.H);KErrUnderflow;-10;Underflow
E32  (E32ERR.H);KErrAlreadyExists;-11;Already exists
E32  (E32ERR.H);KErrPathNotFound;-12;Unable to find the specified folder
E32  (E32ERR.H);KErrDied;-13;Closed
E32  (E32ERR.H);KErrInUse;-14;The specified object is currently in use by another program
E32  (E32ERR.H);KErrServerTerminated;-15;Server has closed
E32  (E32ERR.H);KErrServerBusy;-16;Server busy
E32  (E32ERR.H);KErrCompletion;-17;Completion error
E32  (E32ERR.H);KErrNotReady;-18;Not ready
E32  (E32ERR.H);KErrUnknown;-19;Unknown error
E32  (E32ERR.H);KErrCorrupt;-20;Corrupt
E32  (E32ERR.H);KErrAccessDenied;-21;Access denied
E32  (E32ERR.H);KErrLocked;-22;Locked
E32  (E32ERR.H);KErrWrite;-23;Failed to write
E32  (E32ERR.H);KErrDisMounted;-24;Wrong disk present
E32  (E32ERR.H);KErrEof;-25;Unexpected end of file
E32  (E32ERR.H);KErrDiskFull;-26;Disk full
E32  (E32ERR.H);KErrBadDriver;-27;Bad device driver
E32  (E32ERR.H);KErrBadName;-28;Bad name
E32  (E32ERR.H);KErrCommsLineFail;-29;Comms line failed
E32  (E32ERR.H);KErrCommsFrame;-30;Comms frame error
E32  (E32ERR.H);KErrCommsOverrun;-31;Comms overrun error
E32  (E32ERR.H);KErrCommsParity;-32;Comms parity error
E32  (E32ERR.H);KErrTimedOut;-33;Timed out
E32  (E32ERR.H);KErrCouldNotConnect;-34;Failed to connect
E32  (E32ERR.H);KErrCouldNotDisconnect;-35;Failed to disconnect
E32  (E32ERR.H);KErrDisconnected;-36;Disconnected
E32  (E32ERR.H);KErrBadLibraryEntryPoint;-37;Bad library entry point
E32  (E32ERR.H);KErrBadDescriptor;-38;Bad descriptor
E32  (E32ERR.H);KErrAbort;-39;Interrupted
E32  (E32ERR.H);KErrTooBig;-40;Too big
E32  (E32ERR.H);KErrDivideByZero;-41;Divide by zero
E32  (E32ERR.H);KErrBadPower;-42;Batteries too low
E32  (E32ERR.H);KErrDirFull;-43;Folder full
E32  (E32ERR.H);KErrHardwareNotAvailable;-44;
E32  (E32ERR.H);KErrSessionClosed;-45;
E32  (E32ERR.H);KErrPermissionDenied;-46;Permission denied when attempting operation

ETelFax  (FAXSTD.H);KFaxErrModemNotWorking;-101;Could not connect to the fax machine. The fax modem has failed
ETelFax  (FAXSTD.H);KFaxErrCannotConnect;-102;Could not connect to the fax machine
ETelFax  (FAXSTD.H);KFaxErrCSIorCIG;-103;Could not connect to the fax machine
ETelFax  (FAXSTD.H);KFaxErrDISorDTC;-104;Could not connect to the fax machine
ETelFax  (FAXSTD.H);KFaxErrFrameFail;-105;The connection to the fax machine has been broken
ETelFax  (FAXSTD.H);KFaxErrAtNegotiatedSpeed;-106;Could not connect to the fax machine
ETelFax  (FAXSTD.H);KFaxErrCFR;-107;Could not connect to the fax machine
ETelFax  (FAXSTD.H);KFaxErrMCF;-108;Could not connect to the fax machine
ETelFax  (FAXSTD.H);KFaxErrCRP;-109;Could not connect to the fax machine
ETelFax  (FAXSTD.H);KFaxErrNoDial;-110;Could not connect to the fax machine. Could not dial fax number
ETelFax  (FAXSTD.H);KFaxErrNoDialTone;-111;Could not connect to the fax machine. No dial tone was detected
ETelFax  (FAXSTD.H);KFaxErrBusy;-112;Could not connect to the fax machine. The line is busy
ETelFax  (FAXSTD.H);KFaxErrNoAnswer;-113;Could not connect to the fax machine. The call was not answered
ETelFax  (FAXSTD.H);KFaxErrNoCarrier;-114;Could not connect to the fax machine. The call was not answered by a fax machine
ETelFax  (FAXSTD.H);KFaxErrRemoteCannotReceive;-115;Could not send to the fax machine. The fax machine is unable to receive faxes
ETelFax  (FAXSTD.H);KFaxErrCompression;-116;Panic
ETelFax  (FAXSTD.H);KFaxErrPageTooLong;-117;Panic
ETelFax  (FAXSTD.H);KFaxErrDCN;-118;Could not connect to the fax machine
ETelFax  (FAXSTD.H);KFaxErrRemoteDCN;-119;Could not connect to the fax machine
ETelFax  (FAXSTD.H);KFaxErrHDLC;-120;Could not connect to the fax machine
ETelFax  (FAXSTD.H);KFaxErrStopAndWait;-121;Panic
ETelFax  (FAXSTD.H);KFaxErrTrainStop;-122;Could not connect to the fax machine
ETelFax  (FAXSTD.H);KFaxErrReceiveTimeout;-123;Could not send to the fax machine. The connection has timed out
ETelFax  (FAXSTD.H);KFaxErrCannotEndData;-124;The connection to the fax machine has been broken
ETelFax  (FAXSTD.H);KFaxErrEOP;-125;Could not connect to the fax machine
ETelFax  (FAXSTD.H);KFaxErrMPS;-126;Could not connect to the fax machine
ETelFax  (FAXSTD.H);KFaxErrNoReceiveMode;-127;Could not connect to the fax machine
ETelFax  (FAXSTD.H);KFaxErrCannotAnswer;-128;Could not connect to the fax machine
ETelFax  (FAXSTD.H);KFaxErrPrematureHangup;-129;Could not receive fax. The fax machine ended the call
ETelFax  (FAXSTD.H);KFaxErrModemResponse;-130;Could not connect to the fax machine
ETelFax  (FAXSTD.H);KFaxErrPrematureOK;-131;Could not connect to the fax machine
ETelFax  (FAXSTD.H);KFaxErrNoFinalOK;-132;Could not connect to the fax machine
ETelFax  (FAXSTD.H);KFaxErrUnknownPageCode;-133;Could not connect to the fax machine
ETelFax  (FAXSTD.H);KFaxErrNoHangup;-134;Could not connect to the fax machine
ETelFax  (FAXSTD.H);KFaxErrNoNegotiate;-135;Could not connect to the fax machine
ETelFax  (FAXSTD.H);KFaxErrModemDisconnect;-136;Could not connect to the fax machine
